,geometry,fault_count,GiZScore,GiPValue
399,"POLYGON ((-0.4580867066802816 50.92438725542419, -0.4580867066802816 50.97438725542419, -0.5080867066802816 50.97438725542419, -0.5080867066802816 50.92438725542419, -0.4580867066802816 50.92438725542419))",427.0,,0.001
403,"POLYGON ((-0.4580867066802816 51.12438725542418, -0.4580867066802816 51.17438725542418, -0.5080867066802816 51.17438725542418, -0.5080867066802816 51.12438725542418, -0.4580867066802816 51.12438725542418))",910.0,,0.001
407,"POLYGON ((-0.4580867066802816 51.32438725542417, -0.4580867066802816 51.37438725542417, -0.5080867066802816 51.37438725542417, -0.5080867066802816 51.32438725542417, -0.4580867066802816 51.32438725542417))",876.0,-0.3495630012018692,0.256
408,"POLYGON ((-0.4580867066802816 51.37438725542417, -0.4580867066802816 51.42438725542416, -0.5080867066802816 51.42438725542416, -0.5080867066802816 51.37438725542417, -0.4580867066802816 51.37438725542417))",409.0,0.30204421031959816,0.223
413,"POLYGON ((-0.4580867066802816 51.62438725542415, -0.4580867066802816 51.67438725542415, -0.5080867066802816 51.67438725542415, -0.5080867066802816 51.62438725542415, -0.4580867066802816 51.62438725542415))",528.0,,0.001
415,"POLYGON ((-0.4580867066802816 51.72438725542415, -0.4580867066802816 51.77438725542414, -0.5080867066802816 51.77438725542414, -0.5080867066802816 51.72438725542415, -0.4580867066802816 51.72438725542415))",707.0,,0.001
417,"POLYGON ((-0.4580867066802816 51.82438725542414, -0.4580867066802816 51.87438725542414, -0.5080867066802816 51.87438725542414, -0.5080867066802816 51.82438725542414, -0.4580867066802816 51.82438725542414))",299.0,-0.42799378684935807,0.168
418,"POLYGON ((-0.4580867066802816 51.87438725542414, -0.4580867066802816 51.92438725542414, -0.5080867066802816 51.92438725542414, -0.5080867066802816 51.87438725542414, -0.4580867066802816 51.87438725542414))",148.0,-0.47123865674129317,0.091
419,"POLYGON ((-0.4580867066802816 51.92438725542414, -0.4580867066802816 51.97438725542413, -0.5080867066802816 51.97438725542413, -0.5080867066802816 51.92438725542414, -0.4580867066802816 51.92438725542414))",31.0,-0.06123082851850656,0.423
420,"POLYGON ((-0.4580867066802816 51.97438725542413, -0.4580867066802816 52.02438725542413, -0.5080867066802816 52.02438725542413, -0.5080867066802816 51.97438725542413, -0.4580867066802816 51.97438725542413))",566.0,-0.9380507837469608,0.01
422,"POLYGON ((-0.4580867066802816 52.07438725542413, -0.4580867066802816 52.12438725542412, -0.5080867066802816 52.12438725542412, -0.5080867066802816 52.07438725542413, -0.4580867066802816 52.07438725542413))",45.0,0.9515301509847569,0.105
423,"POLYGON ((-0.4580867066802816 52.12438725542412, -0.4580867066802816 52.17438725542412, -0.5080867066802816 52.17438725542412, -0.5080867066802816 52.12438725542412, -0.4580867066802816 52.12438725542412))",1413.0,-0.5931955973012524,0.076
440,"POLYGON ((-0.4080867066802815 50.7743872554242, -0.4080867066802815 50.8243872554242, -0.4580867066802815 50.8243872554242, -0.4580867066802815 50.7743872554242, -0.4080867066802815 50.7743872554242))",145.0,,0.001
451,"POLYGON ((-0.4080867066802815 51.32438725542417, -0.4080867066802815 51.37438725542417, -0.4580867066802815 51.37438725542417, -0.4580867066802815 51.32438725542417, -0.4080867066802815 51.32438725542417))",237.0,,0.001
457,"POLYGON ((-0.4080867066802815 51.62438725542415, -0.4080867066802815 51.67438725542415, -0.4580867066802815 51.67438725542415, -0.4580867066802815 51.62438725542415, -0.4080867066802815 51.62438725542415))",775.0,0.581076007406036,0.148
458,"POLYGON ((-0.4080867066802815 51.67438725542415, -0.4080867066802815 51.72438725542415, -0.4580867066802815 51.72438725542415, -0.4580867066802815 51.67438725542415, -0.4080867066802815 51.67438725542415))",702.0,0.2819427105036542,0.223
459,"POLYGON ((-0.4080867066802815 51.72438725542415, -0.4080867066802815 51.77438725542414, -0.4580867066802815 51.77438725542414, -0.4580867066802815 51.72438725542415, -0.4080867066802815 51.72438725542415))",365.0,0.5789642952295069,0.151
461,"POLYGON ((-0.4080867066802815 51.82438725542414, -0.4080867066802815 51.87438725542414, -0.4580867066802815 51.87438725542414, -0.4580867066802815 51.82438725542414, -0.4080867066802815 51.82438725542414))",83.0,1.1213237144965233,0.095
462,"POLYGON ((-0.4080867066802815 51.87438725542414, -0.4080867066802815 51.92438725542414, -0.4580867066802815 51.92438725542414, -0.4580867066802815 51.87438725542414, -0.4080867066802815 51.87438725542414))",942.0,-0.7404371316613156,0.019
463,"POLYGON ((-0.4080867066802815 51.92438725542414, -0.4080867066802815 51.97438725542413, -0.4580867066802815 51.97438725542413, -0.4580867066802815 51.92438725542414, -0.4080867066802815 51.92438725542414))",153.0,1.1213752398307208,0.093
466,"POLYGON ((-0.4080867066802815 52.07438725542413, -0.4080867066802815 52.12438725542412, -0.4580867066802815 52.12438725542412, -0.4580867066802815 52.07438725542413, -0.4080867066802815 52.07438725542413))",194.0,-0.20906250340840132,0.474
467,"POLYGON ((-0.4080867066802815 52.12438725542412, -0.4080867066802815 52.17438725542412, -0.4580867066802815 52.17438725542412, -0.4580867066802815 52.12438725542412, -0.4080867066802815 52.12438725542412))",354.0,-0.5702356440092479,0.224
471,"POLYGON ((-0.4080867066802815 52.32438725542411, -0.4080867066802815 52.37438725542411, -0.4580867066802815 52.37438725542411, -0.4580867066802815 52.32438725542411, -0.4080867066802815 52.32438725542411))",73.0,,0.001
484,"POLYGON ((-0.3580867066802815 50.7743872554242, -0.3580867066802815 50.8243872554242, -0.4080867066802815 50.8243872554242, -0.4080867066802815 50.7743872554242, -0.3580867066802815 50.7743872554242))",493.0,-0.6894911114127059,0.103
485,"POLYGON ((-0.3580867066802815 50.8243872554242, -0.3580867066802815 50.8743872554242, -0.4080867066802815 50.8743872554242, -0.4080867066802815 50.8243872554242, -0.3580867066802815 50.8243872554242))",141.0,0.10523983516783175,0.293
487,"POLYGON ((-0.3580867066802815 50.92438725542419, -0.3580867066802815 50.97438725542419, -0.4080867066802815 50.97438725542419, -0.4080867066802815 50.92438725542419, -0.3580867066802815 50.92438725542419))",767.0,,0.001
493,"POLYGON ((-0.3580867066802815 51.22438725542418, -0.3580867066802815 51.27438725542417, -0.4080867066802815 51.27438725542417, -0.4080867066802815 51.22438725542418, -0.3580867066802815 51.22438725542418))",315.0,,0.001
495,"POLYGON ((-0.3580867066802815 51.32438725542417, -0.3580867066802815 51.37438725542417, -0.4080867066802815 51.37438725542417, -0.4080867066802815 51.32438725542417, -0.3580867066802815 51.32438725542417))",195.0,-0.6525542804887586,0.157
496,"POLYGON ((-0.3580867066802815 51.37438725542417, -0.3580867066802815 51.42438725542416, -0.4080867066802815 51.42438725542416, -0.4080867066802815 51.37438725542417, -0.3580867066802815 51.37438725542417))",158.0,-0.5690537438158334,0.227
499,"POLYGON ((-0.3580867066802815 51.52438725542416, -0.3580867066802815 51.57438725542416, -0.4080867066802815 51.57438725542416, -0.4080867066802815 51.52438725542416, -0.3580867066802815 51.52438725542416))",154.0,4.047424055603822,0.02
500,"POLYGON ((-0.3580867066802815 51.57438725542416, -0.3580867066802815 51.62438725542415, -0.4080867066802815 51.62438725542415, -0.4080867066802815 51.57438725542416, -0.3580867066802815 51.57438725542416))",2235.0,0.13588710510173768,0.281
501,"POLYGON ((-0.3580867066802815 51.62438725542415, -0.3580867066802815 51.67438725542415, -0.4080867066802815 51.67438725542415, -0.4080867066802815 51.62438725542415, -0.3580867066802815 51.62438725542415))",849.0,4.052074478687217,0.02
506,"POLYGON ((-0.3580867066802815 51.87438725542414, -0.3580867066802815 51.92438725542414, -0.4080867066802815 51.92438725542414, -0.4080867066802815 51.87438725542414, -0.3580867066802815 51.87438725542414))",687.0,,0.001
514,"POLYGON ((-0.3580867066802815 52.27438725542412, -0.3580867066802815 52.32438725542411, -0.4080867066802815 52.32438725542411, -0.4080867066802815 52.27438725542412, -0.3580867066802815 52.27438725542412))",74.0,,0.001
529,"POLYGON ((-0.3080867066802814 50.8243872554242, -0.3080867066802814 50.8743872554242, -0.3580867066802814 50.8743872554242, -0.3580867066802814 50.8243872554242, -0.3080867066802814 50.8243872554242))",105.0,-0.4471631748469383,0.33
530,"POLYGON ((-0.3080867066802814 50.8743872554242, -0.3080867066802814 50.92438725542419, -0.3580867066802814 50.92438725542419, -0.3580867066802814 50.8743872554242, -0.3080867066802814 50.8743872554242))",249.0,-0.772146585090454,0.059
532,"POLYGON ((-0.3080867066802814 50.97438725542419, -0.3080867066802814 51.02438725542419, -0.3580867066802814 51.02438725542419, -0.3580867066802814 50.97438725542419, -0.3080867066802814 50.97438725542419))",154.0,1.173425174536165,0.091
533,"POLYGON ((-0.3080867066802814 51.02438725542419, -0.3080867066802814 51.07438725542418, -0.3580867066802814 51.07438725542418, -0.3580867066802814 51.02438725542419, -0.3080867066802814 51.02438725542419))",965.0,-0.6588789828197344,0.142
535,"POLYGON ((-0.3080867066802814 51.12438725542418, -0.3080867066802814 51.17438725542418, -0.3580867066802814 51.17438725542418, -0.3580867066802814 51.12438725542418, -0.3080867066802814 51.12438725542418))",611.0,,0.001
537,"POLYGON ((-0.3080867066802814 51.22438725542418, -0.3080867066802814 51.27438725542417, -0.3580867066802814 51.27438725542417, -0.3580867066802814 51.22438725542418, -0.3080867066802814 51.22438725542418))",359.0,-0.2693503927945118,0.484
538,"POLYGON ((-0.3080867066802814 51.27438725542417, -0.3080867066802814 51.32438725542417, -0.3580867066802814 51.32438725542417, -0.3580867066802814 51.27438725542417, -0.3080867066802814 51.27438725542417))",327.0,-0.19711106065736544,0.463
540,"POLYGON ((-0.3080867066802814 51.37438725542417, -0.3080867066802814 51.42438725542416, -0.3580867066802814 51.42438725542416, -0.3580867066802814 51.37438725542417, -0.3080867066802814 51.37438725542417))",473.0,-0.19192744836003636,0.453
